         159297259 function calls in 773.528 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      258    0.001    0.000    0.001    0.000 {built-in method scal}
       20    0.001    0.000    0.001    0.000 threading.py:1096(ident)
       20    0.001    0.000    0.002    0.000 iostream.py:238(_flush_buffer)
       20    0.001    0.000    0.001    0.000 jsonutil.py:102(date_default)
       20    0.001    0.000    0.001    0.000 {built-in method locals}
        1    0.001    0.001    0.001    0.001 __init__.py:198(mul)
       20    0.001    0.000    0.001    0.000 iostream.py:247(_new_buffer)
      147    0.001    0.000    0.001    0.000 {built-in method copy}
        1    0.001    0.001    0.001    0.001 __init__.py:220(div)
       76    0.000    0.000    0.000    0.000 {built-in method max_step}
       80    0.000    0.000    0.003    0.000 hmac.py:90(update)
       20    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.StringIO' objects}
       36    0.000    0.000    0.061    0.002 coneprog.py:2291(f4_no_ir)
       21    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
       21    0.000    0.000    0.001    0.000 encoder.py:37(replace)
       36    0.000    0.000    0.061    0.002 coneprog.py:2333(f4)
       20    0.000    0.000    0.000    0.000 {method 'isoformat' of 'datetime.datetime' objects}
       20    0.000    0.000    0.000    0.000 {built-in method get_ident}
      375    0.000    0.000    0.000    0.000 {built-in method sum}
      119    0.000    0.000    0.000    0.000 {built-in method max}
       18    0.000    0.000    0.007    0.000 misc.py:945(ssqr)
        2    0.000    0.000    0.000    0.000 {built-in method reduce}
       18    0.000    0.000    0.000    0.000 {built-in method sprod}
       38    0.000    0.000    0.000    0.000 coneprog.py:1919(fA)
       38    0.000    0.000    0.019    0.000 coneprog.py:1900(fG)
       19    0.000    0.000    5.260    0.277 coneprog.py:1984(kktsolver)
      256    0.000    0.000    0.000    0.000 {built-in method len}
       20    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       19    0.000    0.000    0.016    0.001 coneprog.py:1847(fP)
       20    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       20    0.000    0.000    0.000    0.000 session.py:655(<listcomp>)
       56    0.000    0.000    0.000    0.000 {built-in method time}
       20    0.000    0.000    0.001    0.000 hmac.py:108(_current)
       20    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
       20    0.000    0.000    0.001    0.000 hmac.py:127(hexdigest)
      110    0.000    0.000    0.000    0.000 {built-in method getpid}
       19    0.000    0.000    0.000    0.000 {built-in method triusc}
        1    0.000    0.000  773.528  773.528 <string>:1(<module>)
       20    0.000    0.000    0.000    0.000 coneprog.py:1991(xcopy)
       19    0.000    0.000    0.000    0.000 {built-in method trisc}
       20    0.000    0.000    0.000    0.000 coneprog.py:1998(ycopy)
       40    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       20    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
       80    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       20    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       38    0.000    0.000    0.000    0.000 misc.py:827(<listcomp>)
       20    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x7f329c15cf60}
       28    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 misc.py:1352(kkt_chol2)
       20    0.000    0.000    0.000    0.000 {method 'close' of '_io.StringIO' objects}
       18    0.000    0.000    0.000    0.000 misc.py:592(<listcomp>)
       60    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       18    0.000    0.000    0.000    0.000 misc.py:593(<listcomp>)
        1    0.000    0.000    0.000    0.000 coneprog.py:1876(<listcomp>)
        1    0.000    0.000    0.000    0.000 misc.py:308(<listcomp>)
        1    0.000    0.000    0.000    0.000 coneprog.py:1860(<listcomp>)
        1    0.000    0.000    0.000    0.000 coneprog.py:2062(<listcomp>)
        1    0.000    0.000    0.000    0.000 coneprog.py:1862(<listcomp>)
        1    0.000    0.000    0.000    0.000 coneprog.py:2065(<listcomp>)
        1    0.000    0.000    0.000    0.000 coneprog.py:2066(<listcomp>)
        1    0.000    0.000    0.000    0.000 misc.py:375(<listcomp>)
        1    0.000    0.000    0.000    0.000 misc.py:374(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
